Timestamp,Turbine_ID,Wind_Speed_m_s,Power_Output_kW,Grid_Voltage_V,Rotor_Current_A,Ambient_Temp_C,IGBT_Phase_Temp_C,Status,Error_Code
2025-01-01 00:00:00,WTG_NX_001,8.24,1400.1,694.3,1225.7,22.1,40.7,Normal,0
2025-01-01 00:10:00,WTG_NX_001,6.65,786.7,691.6,691.3,26.4,39.4,Normal,0
2025-01-01 00:20:00,WTG_NX_001,8.62,1694.74,694.2,1483.6,22.6,43.9,Normal,0
2025-01-01 00:30:00,WTG_NX_001,10.81,3325.24,683.0,2958.8,25.3,67.3,Normal,0
2025-01-01 00:40:00,WTG_NX_001,6.41,701.64,685.8,621.8,22.8,32.0,Normal,0
2025-01-01 00:50:00,WTG_NX_001,6.41,607.63,692.1,533.6,17.1,26.9,Normal,0
2025-01-01 01:00:00,WTG_NX_001,10.95,3417.32,692.0,3001.4,15.2,59.1,Normal,0
2025-01-01 01:10:00,WTG_NX_001,8.92,1824.45,694.3,1597.1,28.4,50.7,Normal,0
2025-01-01 01:20:00,WTG_NX_001,5.83,568.89,679.2,509.1,14.0,19.7,Normal,0
2025-01-01 01:30:00,WTG_NX_001,8.36,1451.96,682.1,1293.7,22.1,41.0,Normal,0
2025-01-01 01:40:00,WTG_NX_001,5.84,538.05,693.5,471.6,21.3,29.7,Normal,0
2025-01-01 01:50:00,WTG_NX_001,5.84,514.06,684.1,456.7,25.3,31.0,Normal,0
2025-01-01 02:00:00,WTG_NX_001,7.6,1098.6,689.1,968.9,15.4,29.1,Normal,0
2025-01-01 02:10:00,WTG_NX_001,2.22,17.2,691.7,15.1,15.5,14.8,Normal,0
2025-01-01 02:20:00,WTG_NX_001,2.69,53.72,692.5,47.1,30.4,33.4,Normal,0
2025-01-01 02:30:00,WTG_NX_001,5.59,513.15,683.1,456.6,23.8,30.6,Normal,0
2025-01-01 02:40:00,WTG_NX_001,4.47,204.72,690.8,180.1,24.7,28.4,Normal,0
2025-01-01 02:50:00,WTG_NX_001,7.79,1185.07,693.7,1038.2,16.8,32.8,Normal,0
2025-01-01 03:00:00,WTG_NX_001,4.73,260.4,688.9,229.7,23.8,25.2,Normal,0
2025-01-01 03:10:00,WTG_NX_001,3.47,206.0,680.9,183.9,17.0,20.5,Normal,0
2025-01-01 03:20:00,WTG_NX_001,10.66,3187.45,689.5,2809.6,19.7,62.7,Normal,0
2025-01-01 03:30:00,WTG_NX_001,6.44,682.56,697.0,595.2,24.2,34.9,Normal,0
2025-01-01 03:40:00,WTG_NX_001,7.17,911.12,689.6,803.0,18.5,28.5,Normal,0
